Recording,10830mWh
Current Setpoint,1500
Low Voltage Stop,3300
Seconds, Voltage, Current, mAh, mWh
239.7254896,4.17,1500,99.938,419.078
240.7339404,4.17,1498,100.355,420.815
241.726639,4.168,1499,100.772,422.551
242.7188789,4.168,1500,101.188,424.288
243.7279213,4.17,1500,101.605,426.025
244.7209189,4.17,1500,102.022,427.761
245.7290008,4.168,1498,102.438,429.498
246.7214551,4.168,1499,102.855,431.234
247.7139571,4.168,1500,103.272,432.97
248.722493,4.168,1499,103.688,434.706
249.7151845,4.168,1500,104.105,436.442
250.7235998,4.168,1499,104.522,438.178
251.7167342,4.166,1500,104.938,439.914
252.7088832,4.166,1500,105.355,441.65
253.717897,4.166,1500,105.772,443.386
254.7100546,4.166,1500,106.188,445.122
255.7029202,4.166,1499,106.605,446.858
256.7113064,4.166,1499,107.022,448.594
257.7038395,4.168,1498,107.438,450.329
258.7123853,4.168,1501,107.855,452.065
259.7048817,4.166,1499,108.272,453.8
260.697006,4.168,1500,108.688,455.536
261.7061014,4.166,1500,109.105,457.271
262.6989954,4.166,1499,109.522,459.006
263.7068813,4.166,1500,109.938,460.741
264.7000154,4.166,1498,110.355,462.477
265.6928094,4.166,1499,110.772,464.212
266.7013486,4.166,1499,111.188,465.947
267.6939625,4.166,1499,111.605,467.681
268.7021348,4.165,1500,112.022,469.416
269.6953474,4.165,1500,112.438,471.151
270.6871176,4.165,1500,112.855,472.886
271.6959294,4.164,1498,113.272,474.62
272.688898,4.164,1499,113.688,476.354
273.6811867,4.162,1499,114.105,478.089
274.689854,4.162,1498,114.522,479.823
275.6828812,4.164,1498,114.938,481.557
276.6908951,4.161,1499,115.355,483.291
277.6840792,4.161,1500,115.772,485.024
278.6758642,4.161,1499,116.188,486.758
279.6848438,4.161,1499,116.605,488.492
280.6772492,4.161,1499,117.022,490.225
281.6853902,4.162,1499,117.438,491.958
282.6788944,4.161,1499,117.855,493.691
283.6711197,4.161,1499,118.272,495.424
284.6793893,4.161,1500,118.688,497.157
285.6719494,4.161,1499,119.105,498.89
286.6645468,4.159,1499,119.522,500.623
287.6732576,4.159,1499,119.938,502.355
288.6663615,4.159,1499,120.355,504.087
289.6744437,4.159,1500,120.772,505.82
290.6669392,4.159,1499,121.188,507.552
291.6595653,4.159,1500,121.605,509.283
292.6677303,4.157,1500,122.022,511.015
293.6607978,4.157,1499,122.438,512.747
294.6689136,4.157,1500,122.855,514.478
295.6614125,4.157,1499,123.272,516.209
296.6548874,4.157,1500,123.688,517.94
297.6629531,4.155,1499,124.105,519.671
298.6549275,4.155,1499,124.522,521.402
299.648814,4.153,1500,124.938,523.133
300.6569243,4.153,1499,125.355,524.863
301.649347,4.153,1500,125.772,526.593
302.6581158,4.153,1500,126.188,528.323
303.6508181,4.153,1500,126.605,530.053
304.6429086,4.155,1499,127.022,531.783
305.6522736,4.153,1500,127.438,533.513
306.6448915,4.151,1499,127.855,535.242
307.6529159,4.151,1500,128.267,536.954
308.6459209,4.151,1500,128.688,538.701
309.6380649,4.153,1499,129.105,540.43
310.6468564,4.151,1500,129.522,542.159
311.6388798,4.151,1500,129.938,543.888
312.6319069,4.151,1500,130.355,545.617
313.6402167,4.149,1499,130.772,547.345
314.6329159,4.149,1499,131.188,549.074
315.6419119,4.149,1499,131.605,550.802
316.6340167,4.149,1499,132.022,552.531
317.6270202,4.149,1499,132.438,554.259
318.6352628,4.149,1499,132.855,555.987
319.6278917,4.148,1500,133.272,557.715
320.6359887,4.148,1500,133.688,559.443
321.6290528,4.148,1500,134.105,561.171
322.6218869,4.148,1500,134.522,562.899
323.630033,4.146,1500,134.938,564.626
324.6220169,4.146,1500,135.355,566.353
325.6309595,4.148,1500,135.772,568.081
326.6238342,4.148,1500,136.188,569.808
327.6168946,4.146,1498,136.605,571.535
328.6250089,4.146,1499,137.022,573.262
329.6179718,4.146,1500,137.438,574.989
330.6099152,4.146,1501,137.855,576.717
331.6188396,4.146,1499,138.272,578.444
332.6113283,4.146,1499,138.688,580.17
333.6198454,4.144,1500,139.105,581.897
334.61288,4.146,1500,139.522,583.624
335.6047019,4.146,1498,139.938,585.35
336.6139148,4.144,1499,140.355,587.077
337.6061737,4.144,1501,140.772,588.803
338.6149021,4.144,1499,141.188,590.529
339.6079193,4.144,1500,141.605,592.255
340.6002422,4.144,1500,142.022,593.982
341.6089165,4.144,1500,142.438,595.708
342.6009194,4.144,1499,142.855,597.434
343.5941138,4.144,1500,143.272,599.159
344.6021997,4.144,1500,143.688,600.885
345.5949254,4.142,1500,144.105,602.611
346.6028818,4.142,1500,144.522,604.337
347.595666,4.144,1499,144.938,606.063
348.5882734,4.144,1499,145.355,607.788
349.5968044,4.144,1500,145.772,609.514
350.5898108,4.142,1500,146.188,611.24
351.5979277,4.142,1499,146.605,612.965
352.5908945,4.144,1499,147.022,614.691
353.5837032,4.142,1499,147.438,616.416
354.5921876,4.142,1500,147.855,618.142
355.583889,4.142,1499,148.272,619.867
356.5771804,4.142,1500,148.688,621.592
357.585615,4.142,1499,149.105,623.317
358.5784254,4.142,1500,149.522,625.042
359.5872423,4.142,1500,149.938,626.768
360.5799153,4.142,1499,150.355,628.493
361.571917,4.142,1500,150.772,630.218
362.5800393,4.14,1500,151.188,631.943
363.5731336,4.142,1500,151.605,633.668
364.5814214,4.142,1500,152.022,635.393
365.5748238,4.142,1499,152.438,637.119
366.5669731,4.142,1500,152.855,638.843
367.5758913,4.14,1500,153.272,640.568
368.568112,4.14,1499,153.688,642.293
369.5760591,4.142,1500,154.105,644.018
370.5690302,4.14,1499,154.522,645.743
371.5618975,4.14,1501,154.938,647.468
372.5703566,4.14,1499,155.355,649.193
373.5634915,4.142,1500,155.772,650.918
374.5558995,4.14,1500,156.188,652.642
375.5638024,4.14,1499,156.605,654.367
376.5568802,4.14,1499,157.022,656.092
377.5651976,4.14,1500,157.438,657.816
378.5579193,4.142,1499,157.855,659.541
379.5507792,4.14,1500,158.272,661.265
380.5587308,4.14,1501,158.688,662.99
381.5520831,4.14,1499,159.105,664.714
382.5599189,4.14,1499,159.522,666.439
383.5523729,4.142,1500,159.938,668.163
384.5450665,4.142,1499,160.355,669.888
385.5538583,4.14,1500,160.772,671.612
386.5469224,4.14,1500,161.188,673.336
387.5391523,4.14,1500,161.605,675.061
388.5470507,4.14,1500,162.022,676.785
389.5401538,4.14,1499,162.438,678.509
